id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
567270769493238695,446157105,Isole,Cannaregio,Entire home/apt,45.44493,12.31972,458.0,458.0,2.660865478003869,2,2,59,7,1.42,1,223,2025-08-15,IT027042C2MG3ORQJY
567760208528736744,446279310,Terraferma,San Lorenzo XXV Aprile,Entire home/apt,45.49454232742802,12.23221220076084,83.0,83.0,1.919078092376074,2,2,108,52,2.73,1,314,2025-09-08,IT027042C2Wl8YY6QS
567928627480686495,195796240,Isole,Santa Croce,Private room,45.43752,12.32271,140.0,140.0,2.146128035678238,2,2,87,15,2.05,14,107,2025-08-26,IT027042B4DPEQ2UMI
568000592901985503,195796240,Isole,Santa Croce,Private room,45.43784,12.32235,158.0,158.0,2.1986570869544226,2,2,136,37,3.21,14,93,2025-08-20,IT027042B4DPEQ2UMI
568006535926176022,195796240,Isole,Santa Croce,Private room,45.43759,12.32083,144.0,144.0,2.1583624920952498,2,2,92,33,2.19,14,93,2025-08-20,IT027042B4DPEQ2UMI
568490356244099608,416824528,Isole,San Polo,Entire home/apt,45.43913,12.33465,558.0,558.0,2.7466341989375787,1,1,0,0,,6,352,,IT027042B4SP4WU7P9
568566195566921442,189696011,Terraferma,Piave 1860,Entire home/apt,45.48887,12.2377,142.0,142.0,2.1522883443830563,2,2,18,5,0.47,2,111,2025-07-04,IT027042C2M2BZCMHD
568669015232129122,2634978,Isole,Santa Croce,Entire home/apt,45.44057,12.32766,351.0,351.0,2.545307116465824,1,1,15,3,0.37,142,286,2025-03-04,IT027042B4MFYYCOBE
569434428427083786,446649344,Isole,Castello,Entire home/apt,45.4346,12.35876,288.0,288.0,2.459392487759231,3,3,22,2,0.56,1,262,2025-06-16,IT027042C2A4UNXNEO
570064356299432871,44274762,Isole,Cannaregio,Entire home/apt,45.4455,12.32259,199.0,199.0,2.298853076409707,2,2,80,15,1.95,5,250,2025-08-12,IT027042B4XG9M2XZM
570331828259631995,446833551,Isole,Santa Croce,Entire home/apt,45.4393,12.32309,234.0,234.0,2.369215857410143,2,2,171,55,4.31,1,334,2025-09-06,IT027042B4WIKGR3EA
570804883700006416,1863344,Isole,San Marco,Entire home/apt,45.435482,12.33864,160.0,160.0,2.204119982655925,3,3,109,19,2.61,3,325,2025-08-13,IT027042C28JFC5VNH
572348858093960732,12982157,Isole,Castello,Entire home/apt,45.43509,12.34159,130.0,130.0,2.113943352306837,1,1,44,6,1.07,23,47,2025-04-19,IT027042B4I9PNCGZK
572686280844206430,447318807,Isole,Cannaregio,Entire home/apt,45.44669,12.33122,315.0,315.0,2.4983105537896004,1,1,22,5,0.57,4,324,2025-08-12,IT027042B4XTIHVLVO
572714080107064467,447318807,Isole,Cannaregio,Private room,45.4465,12.33132,82.0,82.0,1.9138138523837167,1,1,97,21,2.26,4,332,2025-08-17,IT027042B4XTIHVLVO
572810515314788877,447318807,Isole,Cannaregio,Entire home/apt,45.444435,12.329895,2143.0,1343.9599999999991,3.3310221710418286,1,1,5,0,0.12,4,365,2022-12-28,IT027042B4XTIHVLVO
